email,first_name,last_name,role,school_name,school_type,domain,state,city,phone,status,notes,custom_data
,,,Owner/Manager,Results,Business,https://boldcityac.com/?utm_campaign=gmb,FL,Jacksonville,(904) 453-8254 ,pending,"Scraped from Google Maps: HVAC companies in Jacksonville, FL. Emails: ",[]
,,,Owner/Manager,Bold City Heating & Air,Business,https://boldcityac.com/?utm_campaign=gmb,FL,Jacksonville,(904) 453-8254,pending,"Scraped from Google Maps: HVAC companies in Jacksonville, FL. Emails: ",[]
snyderman@snyderac.com,,,Owner/Manager,"Snyder Air Conditioning, Plumbing & Electric",Business,https://snyderac.com/north-florida/jacksonville/?utm_source=google-gbp&utm_medium=organic&utm_campaign=*182*snyder-air-jacksonville,FL,Jacksonville,(904) 274-4454,pending,"Scraped from Google Maps: HVAC companies in Jacksonville, FL. Emails: snyderman@snyderac.com, info@snydersfl.com","['snyderman@snyderac.com', 'info@snydersfl.com']"
,,,Owner/Manager,Service Experts Jacksonville,Business,https://www.serviceexperts.com/jacksonville-fl?&utm_campaign=listing&utm_medium=organic_search&utm_source=gmb&utm_content=brand,FL,Jacksonville,(904) 560-5878,pending,"Scraped from Google Maps: HVAC companies in Jacksonville, FL. Emails: ",[]
,,,Owner/Manager,Air McCall,Business,https://www.fenwickhomeservices.com/?utm_source=google&utm_medium=gbp&utm_campaign=FWK0100-WEB009-GBP&utm_crid=FWK0100_WEB009_113215303,FL,Jacksonville,(904) 682-9522,pending,"Scraped from Google Maps: HVAC companies in Jacksonville, FL. Emails: ",[]
,,,Owner/Manager,Florida Home Air Conditioning,Business,https://floridahomeac.com/service-areas?utm_source=google&utm_medium=gbp&utm_campaign=local_seo&utm_content=gbp_website_click,FL,Jacksonville,(904) 990-8633,pending,"Scraped from Google Maps: HVAC companies in Jacksonville, FL. Emails: ",[]
,,,Owner/Manager,"Weather Engineers, Inc.",Business,https://weatherengineers.com/jacksonville-fl-air-conditioning-services/,FL,Jacksonville,(904) 593-3721,pending,"Scraped from Google Maps: HVAC companies in Jacksonville, FL. Emails: ",[]
,,,Owner/Manager,Hammond Heating & Air Conditioning,Business,https://www.hammondair.com/jacksonville-fl/,FL,Jacksonville,(904) 893-3341,pending,"Scraped from Google Maps: HVAC companies in Jacksonville, FL. Emails: ",[]
,,,Owner/Manager,J&W Heating and Air & Plumbing,Business,https://www.jandwheatingandair.com/?utm_source=google&utm_medium=gbp,FL,Jacksonville,(904) 780-5787,pending,"Scraped from Google Maps: HVAC companies in Jacksonville, FL. Emails: ",[]
,,,Owner/Manager,Affordable Mighty Air Inc,Business,https://www.mightyairinc.com/,FL,Jacksonville,(904) 549-6571,pending,"Scraped from Google Maps: HVAC companies in Jacksonville, FL. Emails: ",[]
